ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
464875,Male,Yes,42,No,Entertainment,1,Low,2,Cat_4,B
459150,Female,No,49,Yes,Doctor,0,Low,1,Cat_6,A
459281,Male,Yes,41,Yes,Artist,0,Low,2,Cat_6,B
465395,Female,Yes,43,No,Engineer,0,Average,5,Cat_4,B
467076,Female,Yes,48,Yes,Doctor,0,Average,2,Cat_6,B
464026,Male,No,18,No,Healthcare,1,Low,2,Cat_6,D
462884,Female,Yes,55,No,Artist,1,Low,2,Cat_3,B
460370,Female,Yes,28,Yes,Executive,8,High,2,Cat_6,C
460444,Male,Yes,60,No,Artist,0,Low,1,Cat_6,B
463488,Female,No,29,No,Engineer,9,Low,4,Cat_4,A
463922,Female,No,32,No,Healthcare,2,Low,5,Cat_1,C
466267,Male,Yes,26,Yes,Entertainment,0,Average,3,Cat_3,A
461442,Male,Yes,47,Yes,Artist,1,Average,6,Cat_2,C
463822,Male,Yes,56,Yes,Artist,0,Average,4,Cat_6,C
465461,Male,Yes,72,No,Entertainment,1,Average,3,Cat_6,C
459209,Female,No,21,No,Entertainment,1,Low,4,Cat_6,C
462337,Female,Yes,79,Yes,Lawyer,1,High,2,Cat_4,B
459942,Male,No,51,Yes,Artist,5,Low,1,Cat_6,B
465561,Male,Yes,25,No,Artist,1,Average,4,Cat_4,B
463916,Female,No,32,No,Engineer,9,Low,4,Cat_5,A
467166,Female,Yes,25,No,Homemaker,8,Average,2,Cat_6,D
460025,Female,No,26,Yes,Healthcare,5,Low,2,Cat_6,D
459240,Female,No,28,Yes,Artist,1,Low,1,Cat_6,A
463635,Female,Yes,41,Yes,Artist,0,Low,3,Cat_6,A
459392,Female,No,23,No,Doctor,0,Low,3,Cat_6,C
459551,Female,Yes,42,No,Engineer,4,Low,1,Cat_6,B
464992,Male,Yes,67,Yes,Executive,0,High,2,Cat_6,C
463088,Female,Yes,89,Yes,Lawyer,0,High,2,Cat_6,C
459321,Male,Yes,81,Yes,Entertainment,1,Low,1,Cat_6,B
464187,Female,No,41,No,Engineer,9,Low,1,Cat_6,A
465919,Female,No,50,Yes,Artist,0,Low,1,Cat_6,B
467135,Female,Yes,51,Yes,Artist,1,Average,5,Cat_6,C
461393,Female,Yes,80,Yes,Artist,6,Average,2,Cat_6,C
463462,Female,Yes,41,No,Engineer,0,Average,4,Cat_6,A
459625,Female,Yes,57,No,Engineer,8,Low,1,Cat_6,B
459255,Female,No,33,Yes,Healthcare,0,Low,3,Cat_6,A
459704,Male,Yes,41,Yes,Artist,1,Average,3,Cat_6,B
460061,Male,No,45,Yes,Marketing,0,Low,1,Cat_3,D
464335,Male,Yes,50,Yes,Executive,4,High,3,Cat_6,C
467677,Male,Yes,57,No,Entertainment,0,High,3,Cat_4,D
460632,Female,No,22,No,Healthcare,0,Low,3,Cat_3,D
465624,Male,No,39,Yes,Artist,8,Low,3,Cat_6,C
464251,Male,Yes,65,Yes,Artist,0,Average,4,Cat_2,B
466912,Male,Yes,68,Yes,Engineer,0,Low,1,Cat_6,D
462071,Male,Yes,43,No,Doctor,0,Low,2,Cat_6,A
467532,Male,Yes,53,Yes,Artist,8,Low,1,Cat_6,A
459363,Male,No,53,Yes,Artist,2,Low,1,Cat_6,A
464501,Female,No,25,No,Healthcare,1,Low,3,Cat_6,A
461820,Female,Yes,38,Yes,Doctor,0,Average,2,Cat_6,C
467230,Male,No,21,No,Healthcare,0,Low,4,Cat_6,D
467652,Male,No,32,Yes,Doctor,0,Low,3,Cat_6,D
466299,Female,Yes,40,Yes,Engineer,0,Low,2,Cat_2,B
465600,Male,Yes,40,Yes,Engineer,7,Low,2,Cat_3,B
459256,Female,Yes,46,Yes,Artist,0,High,4,Cat_6,B
458985,Male,No,23,No,Healthcare,1,Low,4,Cat_6,D
464555,Male,Yes,31,Yes,Marketing,13,High,4,Cat_4,D
467673,Male,Yes,50,No,Executive,0,High,4,Cat_6,B
462303,Female,Yes,32,No,Artist,0,Average,4,Cat_6,A
466961,Female,Yes,55,Yes,Artist,2,Average,2,Cat_6,C
461401,Male,Yes,43,Yes,Artist,1,Average,3,Cat_6,A
466531,Female,Yes,49,Yes,Entertainment,2,Average,3,Cat_6,A
460791,Female,No,27,Yes,Engineer,9,Low,7,Cat_3,C
465519,Female,Yes,73,No,Lawyer,1,High,2,Cat_6,A
459277,Male,Yes,38,No,Entertainment,0,Low,2,Cat_6,B
465215,Male,Yes,39,Yes,Executive,9,High,5,Cat_2,A
463291,Male,Yes,35,Yes,Engineer,5,Average,4,Cat_6,B
466092,Male,Yes,65,Yes,Artist,1,Average,4,Cat_6,B
461019,Male,No,18,No,Healthcare,0,Low,3,Cat_3,D
459461,Female,Yes,39,Yes,Artist,0,Low,1,Cat_1,C
465568,Male,Yes,39,Yes,Executive,3,High,3,Cat_6,B
464607,Female,Yes,49,Yes,Artist,0,Average,4,Cat_2,C
460217,Male,Yes,45,Yes,Artist,1,Average,2,Cat_6,B
464454,Female,Yes,52,Yes,Engineer,7,High,4,Cat_6,C
464971,Female,Yes,36,No,Engineer,1,Low,5,Cat_4,A
467161,Female,Yes,30,Yes,Homemaker,9,Low,2,Cat_6,B
467718,Female,No,20,No,Healthcare,2,Low,6,Cat_2,D
465178,Female,Yes,89,Yes,Lawyer,0,High,2,Cat_6,B
460661,Female,No,33,No,Homemaker,9,Low,1,Cat_6,D
467024,Male,Yes,40,Yes,Entertainment,9,Average,5,Cat_6,B
465110,Male,Yes,42,Yes,Entertainment,9,Low,5,Cat_6,D
463588,Male,No,19,No,Healthcare,1,Low,1,Cat_6,D
459995,Female,No,38,No,Artist,4,Low,2,Cat_6,A
461787,Male,Yes,72,Yes,Artist,0,Average,2,Cat_6,C
467917,Female,No,27,Yes,Healthcare,3,Low,4,Cat_1,D
463236,Female,No,26,Yes,Healthcare,5,Low,2,Cat_6,D
